site_name,hours,zip,latitude,longitude
Indianapolis Department Of Parks And Recreation,,46204,39.7679081,-86.1531573
Chapel Hill United Methodist Church,,46214,39.7778138,-86.2885305
Jr Dalton,,46222,39.7808752,-86.2142687
Green Park Terrace,Reservation Line: Mon-Fri 8am-4:30pm,46227,39.6507094,-86.1562792
Salvation Army Fountain Square Corps,Mon-Fri 10am-4pm,46203,39.7491223,-86.1393212
Jewish Family Services at The Albert and Sara Reuben Senior and Community Resource Center,Mon-Thurs 8:30am-5pm; Fri 8:30am-3pm,46260,39.8807074,-86.1738447
Bel-Aire Park,,46208,39.7223671,-86.216759
Shepherd Community Center,Mon-Fri 8am-5pm,46201,39.767767,-86.097391
Ellenberger Park,,46219,39.776551,-86.0766639
AHEPA National Housing Corporation,Reservation Line: Mon-Fri 8am-4:30pm,46256,39.8877496,-86.0409699
Dan Wakefield Park,,46220,39.8650431,-86.1475806
The Rock Missionary Baptist Church,Vary,46235,39.82825,-85.985777
Raymond Park - Indy Island,,46239,39.7381187,-86.0158754
James Garfield - Indianapolis Public School #31,,46225,39.7449741,-86.1524417
Mid-North Food Pantry,"Mon, Wed, and Fri 9am-3pm",46208,39.81649,-86.1563061
Hunger Inc.,,46227,39.6872272,-86.135899
Second Presbyterian Church,Mon-Fri 8:30am-4:30pm,46260,39.895065,-86.1590175
SAINT SIMON THE APOSTLE SCHOOL,,46236,39.9050374,-85.954963
Society Of Saint Vincent De Paul - Indianapolis,,46218,39.8102419,-86.1142636
Cambridge Square Of Beech Grove,Reservation Line: Mon-Fri 8am-4:30pm,46107,39.7162989,-86.0807156
Christamore House Family And Community Center,,46222,39.7753796,-86.2013808
Promise Land Christian Community Church,,46208,39.8022134,-86.1737939
WHEELER MISSION MINISTRIES,,46204,39.7710273,-86.1539126
Brookside Park And Family Center,,46201,39.7897185,-86.1070623
Bethel Park And Family Center,,46203,39.744023,-86.114682
Emmaus Lutheran Church,,46203,39.7503367,-86.1356983
Barnes United Methodist Church,Mon-Thurs 9am-5pm,46208,39.8104579,-86.1765269
Ebenezer Baptist Church,Tues and Thurs 9am-1pm; Wed 10am-2pm,46202,39.7932489,-86.1869762
Augusta Christian Church/Powerhouse International Ministries,,46268,39.881054,-86.218266
New Revelations Christian Church,,46236,39.8799138,-85.9557059
John J. Barton Annex,Reservation Line: Mon-Fri 8am-4:30pm,46204,39.7751885,-86.1486997
Turning Point Family Worship Center,,46226,39.8393968,-86.0087644
Wheeler Mission Shelter For Men,,46204,39.7685876,-86.1481878
Catholic Charities - Caregiver Support Services,Monthly 3rd Mon 5:30pm,46227,39.6787302,-86.1470606
Trinity Lutheran,,46219,39.7908698,-86.0162407
Perry Senior Citizens Services,Reservation Line: Mon-Fri 8am-4:30pm,46227,39.6659226,-86.120748
Ebenezer Baptist Church - Rainbow House Food Pantry,Thurs 9am-noon,46202,39.7929715,-86.1864796
Thatcher Park,,46224,39.771222,-86.238673
CARE Mobile Food Pantry - North United Methodist Church,"June 8-Aug 24, 2019, Sat 10am-noon",46208,39.8254194,-86.1577684
Fay Biccard Glick Neighborhood Center At Crooked Creek,,46268,39.884754,-86.211578
Hope and Help Center,Vary,46201,39.7671368,-86.1142239
Catholic Charities Indianapolis,Mon-Thurs 8:30am-5pm,46202,39.786231,-86.1581999
Krannert Park,,46241,39.7569774,-86.2667256
Glendale Seventh-Day Adventist Church,Mon-Thurs noon-4pm,46220,39.8692587,-86.1158947
Saint John's Missionary Baptist Church,Mon-Thurs 9am-4pm,46202,39.7906054,-86.1348674
Indiana Department of Natural Resources,,46204,39.767889,-86.1658773
Grassy Creek Park,,46229,39.8133811,-85.9789626
Wildwood Park,,46239,39.715202,-86.027283
Glory Point,,46220,39.8547687,-86.1169291
Saint Vincent De Paul Mission 27 Resale,,46202,39.7644444,-86.1375385
Billie's Food Pantry,,46222,39.7512763,-86.1918823
Tabernacle Presbyterian Church,Mon-Thurs 8:30am-4:30pm; Fri 8:30am-3pm,46205,39.81803,-86.150365
New Vision Missionary Baptist Church,,46203,39.7581171,-86.0920994
Anna's House,Tues-Thurs 9am-2pm,46222,39.7716859,-86.1934911
Northside Baptist Church,Mon-Fri 9:30am-5pm,46220,39.8823671,-86.1132293
Blue/Gold Academy Elementary,,46221,39.6823993,-86.248207
Willard Park And Pool,,46201,39.7667799,-86.127458
Cathedral Kitchen,Vary,46202,39.7855969,-86.1561363
Glenns Valley Nature Park,,46217,39.645935,-86.193689
Vineyard Life Church,,46214,39.7751115,-86.2717613
Hawthorne Community Center - Ohio Street Facility,,46222,39.7685932,-86.2021695
Life Church at Eagle Creek,,46254,39.8606988,-86.2698987
Saint Vincent De Paul Boulevard Place Food Pantry,,46208,39.832361,-86.1643466
Lawrence Township Hunger Coalition,Wed 10am-4pm and 6pm-8pm; Fri 10am-4pm,46226,39.8276727,-86.044157
Westminster Neighborhood Services - New York Street,,46201,39.771414,-86.122142
Southeastway Park,,46163,39.6860757,-85.9572775
God's Bounty Food Pantry,Vary,46239,39.703495,-86.0072719
Trinity Christian Methodist Episcopal Church,,46205,39.7990148,-86.135243
Nora Commons On The Monon,Reservation Line: Mon-Fri 8am-4:30pm,46240,39.9170214,-86.1375715
Brightwoo Library,,46218,39.8031415,-86.1012926
New Wineskin Ministries,Tues-Fri 10am-3pm,46254,39.8226578,-86.235909
Scott United Methodist Church,Tues-Thurs noon-5pm,46202,39.7975638,-86.1351458
"Church of the Living Water, The",Monthly 3rd Sun 1pm-3pm,46219,39.770022,-86.008365
CARE Mobile Food Pantry - Save-A-Lot,"June 5-Aug 21, 2019, Wed 4pm-6pm",46201,39.7671272,-86.103123
Sunrise Missionary Baptist Church,Vary,46202,39.7920066,-86.1419853
Ritter Avenue Free Methodist Church,Mon 5:30pm-7:30pm,46218,39.7899943,-86.0734556
Lakeview Church,Mon-Thurs 9am-noon and 1pm-5pm,46224,39.7666254,-86.2642663
