SiteSystem_Name,SiteSystem_Description,SiteSystem_HoursOfOperation,SiteAddressus_SiteAddressus_address_1,SiteAddressus_SiteAddressus_address_2,SiteAddressus_SiteAddressus_city,SiteAddressus_SiteAddressus_county,SiteAddressus_SiteAddressus_state,SiteAddressus_SiteAddressus_zip,SiteAddressus_SiteAddressus_country,SiteAddressus_SiteAddressus_notes,SiteAddressus_SiteAddressus_latitude,SiteAddressus_SiteAddressus_longitude,SiteSystem_Websiteurl,SiteCustom_Phone1,SiteCustom_Phone1Type
Scott United Methodist Church,"A church that offers community outreach including a soup kitchen, youth group, and suicide support group.",Tues-Thurs noon-5pm,2153 DOCTOR ANDREW J BROWN AVENUE,,INDIANAPOLIS,MARION,IN,46202,US,,39.7975638,-86.1351458,www.scottumet.org,317-925-1997,
Christ Church Cathedral,"A church with worship services and charitable outreach, including a weekly meal and limited financial assistance.",Tues-Fri 11am-4pm,125 MONUMENT CIRCLE,,INDIANAPOLIS,MARION,IN,46204,US,,39.7692971,-86.1574902,www.cccindy.org,317-636-4577,
Jewish Family Services at The Albert and Sara Reuben Senior and Community Resource Center,"A nonprofit organization offering immigrant and refugee services including food, homemaker assistance, transportation, and referrals to seniors.",Mon-Thurs 8:30am-5pm; Fri 8:30am-3pm,6905 HOOVER ROAD,,INDIANAPOLIS,MARION,IN,46260,US,,39.8807074,-86.1738447,www.jfgi.org,317-259-6822,
Christ Church Apostolic,,,6601 North Grandview Drive,,Indianapolis,Marion,IN,46260,US,,39.8776169,-86.1867136,www.ccaindy.org,,
Promise Land Christian Community Church,,,802 Edgemont Avenue,,Indianapolis,Marion,IN,46208,US,,39.8022134,-86.1737939,,,
Christamore House Family And Community Center,,,502 NORTH TREMONT STREET,,INDIANAPOLIS,MARION,IN,46222,US,,39.7753796,-86.2013808,www.christamorehouse.org,,
Christamore Court Apartments,,,2330 WEST MICHIGAN STREET,,INDIANAPOLIS,MARION,IN,46222,US,,39.7750462,-86.2004022,www.christamorehouse.org,,
Linwood Christian Church,,,4424 EAST MICHIGAN STREET,,INDIANAPOLIS,MARION,IN,46201,US,,39.7750296,-86.0931342,www.linwoodchristian.org,,
Christ United Methodist Church,A  church with worship services and outreach ministries including a food pantry.,Mon-Thurs 8:30am-4pm,8540 U.S. 31,,INDIANAPOLIS,MARION,IN,46227,US,,39.6417474,-86.1320607,www.cumc-indy.net,317-882-1549,
God's Bounty Food Pantry,"A church offering worship services and charitable outreach programs, including a food pantry.",Vary,8946 SOUTHEASTERN AVENUE,,INDIANAPOLIS,MARION,IN,46239,US,,39.703495,-86.0072719,www.godsbounty.org,317-210-3663,
Tuxedo Park Baptist Church,"A church providing worship services and charitable outreach, including a hot meal and food and clothing pantry.",Mon-Thurs 10am-3pm,29 NORTH GRANT AVENUE,,INDIANAPOLIS,MARION,IN,46201,US,One block north of East Washington St. and east of Sherman Dr.,39.7704995,-86.0970345,,,
Divine Direction Christian Church,"A church with worship services and charitable outreach, including a food pantry.",,1733 EAST 46TH STREET,,INDIANAPOLIS,MARION,IN,46205,US,,39.839886,-86.1303735,www.divinedirectioncc.org,317-749-8741,Food Pantry
Lutheran Child And Family Services,,,1525 North Ritter Avenue,,Indianapolis,Marion,IN,46219,US,,39.7881637,-86.0727437,www.lutheranfamily.org,,
Sharing Place,,,6501 SUNNYSIDE ROAD,,INDIANAPOLIS,MARION,IN,46236,US,,39.8773425,-85.971502,www.lutheranfamily.org,,
Eagle Creek Community Church,"A church offering worship services and charitable outreach programs, including a food pantry.",Vary,5943 LAFAYETTE ROAD,,INDIANAPOLIS,MARION,IN,46254,US,,39.8619568,-86.270335,www.eaglecreekchurch.org,317-291-9619,
Salvation Army Eagle Creek Corps,,,4400 North High School Road,,Indianapolis,Marion,IN,46254,US,,39.8336015,-86.2710092,www.saeaglecreek.org,,
Salvation Army Fountain Square Corps,,Mon-Fri 10am-4pm,1337 SHELBY STREET,,INDIANAPOLIS,MARION,IN,46203,US,,39.7491223,-86.1393212,www.corps.salvationarmyindiana.org,317-632-0156,
Hope and Help Center,"A faith-based organization with charitable outreach, including a food pantry for area persons in need.",Vary,50 SOUTH PARKER AVENUE,Seal Products Building,INDIANAPOLIS,MARION,IN,46201,US,Enter south gate; follow signs,39.7671368,-86.1142239,,909-703-5167,
Hope and Help Center - Community Church,"A faith-based organization with charitable outreach, including a food pantry for area persons in need.",Vary,3332 East English Avenue,Seal Product Building,Indianapolis,Marion,IN,46201,US,,39.7599585,-86.1081431,,909-703-5167,
Community Caring And Sharing,,,2830 South Holt Road,,Indianapolis,Marion,IN,46241,US,,39.7232989,-86.2260528,www.ccsharing.org,,
Lakeview Church,"A church with worship services and charitable outreach, including a food pantry.",Mon-Thurs 9am-noon and 1pm-5pm,47 BEACHWAY DRIVE,,INDIANAPOLIS,MARION,IN,46224,US,,39.7666254,-86.2642663,www.lakeviewchurch.org,317-243-9396,
Ebenezer Baptist Church,"A church with worship services and charitable outreach, including a food pantry.",Tues and Thurs 9am-1pm; Wed 10am-2pm,1901 NORTH HARDING STREET,,INDIANAPOLIS,MARION,IN,46202,US,,39.7932489,-86.1869762,www.ebenezerchurchindy.org,317-631-5946,
Ebenezer Baptist Church - Rainbow House Food Pantry,"A church with worship services and charitable outreach, including a food pantry.",Thurs 9am-noon,1866 NORTH DEXTER STREET,,INDIANAPOLIS,MARION,IN,46202,US,,39.7929715,-86.1864796,www.ebenezerchurchindy.org,317-916-9952,
CICOA Neighborhood Meal Sites,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,8440 WOODFIELD CROSSING BOULEVARD,Suite 175,INDIANAPOLIS,MARION,IN,46240,US,,39.909591,-86.1215038,www.cicoa.org,,
John J. Barton Annex,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,501 North East Street,,Indianapolis,Marion,IN,46204,US,,39.7751885,-86.1486997,www.cicoa.org,,
Carriage House Of Glendale,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,"2520 Tacoma Circle, Building 3",,Indianapolis,Marion,IN,46220,US,,39.8727311,-86.1204542,www.cicoa.org,,
Bethany Village,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,3554 South Shelby Street,,Indianapolis,Marion,IN,46227,US,,39.7141248,-86.1400767,www.cicoa.org/services/meals-more.html,,
Green Park Terrace,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,110 East Meridian School Road,,Indianapolis,Marion,IN,46227,US,,39.6507094,-86.1562792,www.cicoa.org,,
Mount Zion Suburban,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,5260 North Michigan Road,,Indianapolis,Marion,IN,46228,US,,39.8481692,-86.192302,www.cicoa.org,,
AHEPA National Housing Corporation,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,7355 Shadeland Station Way,,Indianapolis,Marion,IN,46256,US,,39.8877496,-86.0409699,www.cicoa.org,,
Nora Commons On The Monon,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,8905 Evergreen Avenue,,Indianapolis,Marion,IN,46240,US,,39.9170214,-86.1375715,www.cicoa.org,,
Crooked Creek Tower,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,7988 North Michigan Road,,Indianapolis,Marion,IN,46268,US,,39.89934,-86.217731,www.cicoa.org,,
Cambridge Square Of Beech Grove,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,331 East Churchman Place,,Beech Grove,Marion,IN,46107,US,,39.7162989,-86.0807156,www.cicoa.org,,
Indiana Avenue Apartments,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,825 Indiana Avenue,,Indianapolis,Marion,IN,46202,US,,39.7790133,-86.1718777,www.cicoa.org,,
Lugar Towers,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,901 Fort Wayne Avenue,,Indianapolis,Marion,IN,46202,US,,39.7791653,-86.1496986,www.cicoa.org,,
Stetson Senior Apartments,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,703 East 30th Street,,Indianapolis,Marion,IN,46205,US,,39.809769,-86.1444269,www.cicoa.org,,
Crawford Manor,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,9940 Hoosier Village Drive,,Indianapolis,Marion,IN,46268,US,,39.9308568,-86.2528806,www.cicoa.org,,
John H. Boner Community Center,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,2236 East 10th Street,,Indianapolis,Marion,IN,46201,US,,39.7814828,-86.1232072,www.cicoa.org,,
Community Alliance of The Far Eastside,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,8902 East 38th Street,,Indianapolis,Marion,IN,46226,US,,39.8274166,-86.0117389,www.cicoa.org,,
Perry Senior Citizens Services,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,6901 Derbyshire Road,,Indianapolis,Marion,IN,46227,US,,39.6659226,-86.120748,www.cicoa.org,,
Eldersource Of Greater Indianapolis - Libby Fogle Lunch Bunch,"The goal of CICOA's Meals & More program is to provide appetizing, nutritionally balanced meals to older adults and those with disabilities either in their homes or at one of more than 30 neighborhood meal sites.  The program is designed to relieve hunger and food insecurity, promote socialization and address proper nutrition education. This program serves Boone, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, and Shelby County.",Reservation Line: Mon-Fri 8am-4:30pm,6701 Hoover Road,,Indianapolis,Marion,IN,46260,US,,39.8797566,-86.1728291,www.cicoa.org,,
Irvington Churches Advocacy Network - Downey Avenue Christian Church,,,111 South Downey Avenue,,Indianapolis,Marion,IN,46219,US,,39.7685259,-86.0763528,www.downeyavenue.com,,
Irvington Churches Advocacy Network - Emerson Avenue Baptist Church,,,308 North Emerson Avenue,,Indianapolis,Marion,IN,46219,US,,39.7726941,-86.0834221,,,
"Nu Corinthian Baptist Church - Inner City Ministry, Sanctity Of Salvation",,,2700 North College Avenue,,Indianapolis,Marion,IN,46205,US,,39.805587,-86.1451463,www.nucorinthianbaptistchurch.org,,
Light Of The World Christian Church,,Mon 6pm-7:30pm,4646 NORTH MICHIGAN ROAD,,INDIANAPOLIS,MARION,IN,46228,US,,39.8404244,-86.1899726,www.lightoftheworld.org,317-254-5922,
Chapel Hill United Methodist Church,,,963 North Girls School Road,,Indianapolis,Marion,IN,46214,US,,39.7778138,-86.2885305,www.chapelhillumc.com,,
Hoosier Veterans Assistance Foundation,,,964 North Pennsylvania Street,,Indianapolis,Marion,IN,46204,US,,39.780988,-86.1562182,www.hvaf.org,,
Turning Point Family Worship Center,,,4501 North Post Road,,Indianapolis,Marion,IN,46226,US,,39.8393968,-86.0087644,www.turningpointfwc.com,,
Turning Point Family Worship Center - Food And Clothing Pantry,,,4554 North Post Road,,Indianapolis,Marion,IN,46226,US,,39.840379,-86.010588,http://turningpointfwc.com,,
Fay Biccard Glick Neighborhood Center At Crooked Creek,,,2990 West 71st Street,,Indianapolis,Marion,IN,46268,US,,39.884754,-86.211578,www.faybiccardglickcenter.org,,
Cornerstone Family Worship Center,A church with worship services and charitable outreach including a food pantry.,Tues and Wed 10am-noon,431 SOUTH SHORTRIDGE ROAD,,INDIANAPOLIS,MARION,IN,46219,US,,39.7629741,-86.0396523,www.cornerstoneindy.net,317-353-8377,
Galilee Missionary Baptist Church,"A church with worship services and charitable outreach, including a food pantry.",Mon 11:30am-1:30pm,2624 EAST 25TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.8036899,-86.1186887,,317-925-6851,
Miracles And Blessings,"A church with worship services and charitable outreach, including a food pantry.",,4062 EAST 34TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.8184989,-86.0982284,,,
Broad Ripple United Methodist Church,,,6185 Guilford Avenue,,Indianapolis,Marion,IN,46220,US,,39.8680593,-86.1426487,www.broadrippleumc.org,,
Mary Rigg Neighborhood Center,,,1920 West Morris Street,,Indianapolis,Marion,IN,46221,US,,39.7514152,-86.1950841,www.maryrigg.org,,
Phillips Temple Christian Methodist Episcopal Church,A church with worship services and charitable outreach including a community meal and clothing program.,Vary,210 EAST 34TH STREET,,INDIANAPOLIS,MARION,IN,46205,US,,39.8179879,-86.1527905,www.phillipstemplecmeindy.org,317-925-2000,
Greater Saint Mark Missionary Baptist Church,,,5502 East 38th Street,,Indianapolis,Marion,IN,46218,US,,39.82683,-86.073317,www.gsmmbc.com,,
Westside Episcopal Ministry Center,"A church with worship services and charitable outreach, including a food pantry.",Mon-Fri noon-3pm,5625 WEST 30TH STREET,,SPEEDWAY,MARION,IN,46224,US,,39.8085512,-86.2599424,,317-293-0372,
New Wineskin Ministries,"A church offering worship services and charitable outreach programs, including a food pantry.",Tues-Fri 10am-3pm,4501 38TH STREET,,INDIANAPOLIS,MARION,IN,46254,US,,39.8226578,-86.235909,www.nwmcentral.com,317-328-1800,
Glendale Seventh-Day Adventist Church,"A church with worship services and charitable outreach, including a food pantry.",Mon-Thurs noon-4pm,2900 EAST 62ND STREET,,INDIANAPOLIS,MARION,IN,46220,US,,39.8692587,-86.1158947,https://glendalesda.org/,317-253-3711,
Edna Martin Christian Center,"A nonprofit agency with a mission to, ""bridge cultural, racial, and economic differences in order to support and nurture the people in the community by providing holistic programs that empower, encourage, and engender a vision of hope.",Mon-Fri 9am-5pm,2605 EAST 25TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.8030561,-86.1190333,www.ednamartincc.org,317-637-3776,
Servant's Heart Of Indy,"A faith-based organization providing community outreach, including a food pantry.",Thurs 6:30pm-9pm; Sat 9am-2pm,"5602 ELMWOOD AVENUE, SUITE 212",,INDIANAPOLIS,MARION,IN,46203,US,,39.7066078,-86.0718595,www.servantsheartofindy.org,317-788-9433,
Jesus Inside Prison Ministry,,,1634 East Minnesota Street,,Indianapolis,Marion,IN,46203,US,,39.745287,-86.1314552,www.jipm.org,,
Metro Baptist Center,"A church with worship services and charitable outreach, including a food pantry.",Mon-Fri 9am-3pm,952 NORTH PENNSYLVANIA STREET,,INDIANAPOLIS,MARION,IN,46204,US,900N & 100E near St. Joseph & Pennsylvania,39.7805033,-86.1561387,www.BaptistCenterIndy.com,317-687-0075,
Emmaus Lutheran Church,,,1224 Laurel Street,,Indianapolis,Marion,IN,46203,US,,39.7503367,-86.1356983,www.emmausfountainsquare.org,,
Emmaus Lutheran Church Food Pantry,,,1209 Linden Street,,Indianapolis,Marion,IN,46203,US,,39.7505808,-86.136637,www.emmausfountainsquare.org/food-pantry,,
Saint John The Evangelist,,Mon-Fri 9am-5pm,126 WEST GEORGIA STREET,,INDIANAPOLIS,MARION,IN,46225,US,,39.7648391,-86.1612266,www.stjohnsindy.com,,
Saints Peter And Paul Cathedral,A church providing outreach services including meals open to the public.,Mon-Fri 8:30am-5:30pm,1347 NORTH MERIDIAN STREET,,INDIANAPOLIS,MARION,IN,46202,US,,39.7853869,-86.1568144,www.ssppc.org,317-634-4519,
Cathedral Kitchen,A church providing outreach services including meals open to the public.,Vary,1350 NORTH PENNSYLVANIA STREET,Lower Level,INDIANAPOLIS,MARION,IN,46202,US,,39.7855969,-86.1561363,www.ssppc.org/hours-of-operation,317-632-4360,
"Faith, Hope And Love Community",,,"40 West 40th Street, Suite 223",,Indianapolis,Marion,IN,46208,US,,39.8286575,-86.1585634,www.fhlcommunity.org,,
Lirios De Los Valles,,,1805 West Wilkins Street,,Indianapolis,Marion,IN,46221,US,,39.7528349,-86.1922199,www.fhlcommunity.org,,
TREE OF LIFE CHRISTIAN MINISTRIES,,,3965 North Boulevard Place,,Indianapolis,Marion,IN,46208,US,,39.8281751,-86.1637148,www.fhlcommunity.org,,
Christ Bible Church,,,3363 North Central Avenue,,Indianapolis,Marion,IN,46205,US,,39.8174732,-86.1493805,www.fhlcommunity.org,,
"Faith, Hope And Love Community",,,40 West 40th Street,,Indianapolis,Marion,IN,46208,US,,39.8283034,-86.163991,www.fhlcommunity.org,,
Saint Luke Missionary Baptist Church,"A church with worship services and charitable outreach, including a food pantry.",Mon-Fri 8am-4pm,5325 EAST 30TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.8105092,-86.0766418,www.stlukeindy.org/,317-543-9505,
New Revelations Christian Church,,,6701 OAKLANDON ROAD,,INDIANAPOLIS,MARION,IN,46236,US,,39.8799138,-85.9557059,www.newrevelationcc.com,,
Roberts Park United Methodist Church,,,401 North Delaware Street,,Indianapolis,Marion,IN,46204,US,,39.773026,-86.1535945,www.robertsparkumc.org,,
First Free Methodist Church,"A church with worship services and charitable outreach, including a food pantry.",Mon-Thurs 9am-5pm,1215 Tecumseh Street,,Indianapolis,Marion,IN,46201,US,,39.7842971,-86.1258383,www.indyfirst.org,317-638-2628,
Vineyard Life Church,,,612 NORTH HIGH SCHOOL ROAD,,INDIANAPOLIS,MARION,IN,46214,US,,39.7751115,-86.2717613,www.vlindy.com,317-222-5510,
Mid-North Food Pantry,"A faith-based, nonprofit organization offering a community food pantry to select Indianapolis zip codes.","Mon, Wed, and Fri 9am-3pm",3333 NORTH MERIDIAN STREET,,INDIANAPOLIS,MARION,IN,46208,US,Food pantry is located in the basement.,39.81649,-86.1563061,www.midnorthfoodpantry.org,317-924-7900,
Fletcher Place Community Center,"""United Methodist Mission Agency seeking to break the cycle of poverty through the compassion of Jesus Christ.""",Mon-Fri 9am-4pm,1637 PROSPECT STREET,,INDIANAPOLIS,MARION,IN,46203,US,,39.7521929,-86.13082,www.fletcherplacecc.org,317-636-3466,
Resurrection Lutheran Church,A church offering regular worship services and providing community outreach including a hot meal.,,445 EAST STOP 11 ROAD,,INDIANAPOLIS,MARION,IN,46227,US,"Half mile north of County Line Road, between US 31 and SR 135 (Meridian St), at the intersection of Stop 11 Rd and Meridian School Road",39.6502476,-86.1506882,www.rlcindy.org,317-881-7854,
